epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7504.98,0.86786,1.24472,0.89243,1.0262,0.81586,0.60055,0.70895,0.51273,0.81487,0.59967,0.71412,0.48492,0.84069,1.21276,0.73843,1.00252,0.000957015,0.000957015,0.000957015
30,7762.92,0.84067,1.19887,0.86061,1.00548,0.63253,0.67944,0.69418,0.49157,0.61798,0.67771,0.69713,0.46953,0.87223,1.27047,0.8221,1.01633,0.000951516,0.000951516,0.000951516
31,8020.24,0.87471,1.21027,0.8554,1.02565,0.59935,0.66446,0.67205,0.47018,0.60376,0.6927,0.68765,0.46335,0.89863,1.23782,0.83468,1.03548,0.000946016,0.000946016,0.000946016
32,8278.09,0.84248,1.1989,0.86324,1.00747,0.66227,0.70532,0.69791,0.51639,0.66919,0.71322,0.70297,0.49259,0.83559,1.17535,0.78542,1.00493,0.000940517,0.000940517,0.000940517
33,8535.53,0.83286,1.17364,0.8277,1.01495,0.81328,0.62204,0.72995,0.53173,0.81374,0.62255,0.7332,0.51198,0.85091,1.19538,0.71774,0.99922,0.000935018,0.000935018,0.000935018
34,8793.39,0.85786,1.18117,0.85376,1.01943,0.65405,0.73736,0.71325,0.50734,0.65081,0.73671,0.70953,0.48974,0.91705,1.21352,0.80769,1.02988,0.000929518,0.000929518,0.000929518
35,9050.87,0.84524,1.15316,0.81091,0.99765,0.6192,0.68322,0.69096,0.49936,0.63312,0.69051,0.69804,0.48638,0.86197,1.18208,0.77681,1.01461,0.000924019,0.000924019,0.000924019
36,9308.38,0.8691,1.2243,0.8252,1.01913,0.65477,0.7192,0.74382,0.53339,0.66356,0.72569,0.75177,0.5124,0.85393,1.2079,0.69549,1.00104,0.000918519,0.000918519,0.000918519
37,9566.88,0.84503,1.16551,0.79749,1.00952,0.79712,0.61339,0.71562,0.51738,0.79539,0.61165,0.71454,0.49867,0.85829,1.2079,0.7196,1.01384,0.00091302,0.00091302,0.00091302
38,9824.33,0.83636,1.15591,0.78758,1.00883,0.59277,0.73678,0.68539,0.51296,0.59352,0.73765,0.68479,0.49262,0.81854,1.16531,0.69491,0.98937,0.00090752,0.00090752,0.00090752
39,10081.6,0.83222,1.1575,0.80094,1.0058,0.64252,0.74343,0.72785,0.53031,0.62911,0.74854,0.72524,0.51332,0.85586,1.17817,0.71624,1.01145,0.000902021,0.000902021,0.000902021
40,10339.1,0.81801,1.14913,0.81841,0.99059,0.62617,0.76706,0.75283,0.54783,0.6309,0.76818,0.75481,0.52397,0.85382,1.21009,0.74285,1.00964,0.000896521,0.000896521,0.000896521
41,10597.1,0.80936,1.13327,0.73859,0.99631,0.59821,0.76832,0.75253,0.55744,0.59814,0.77248,0.76053,0.54188,0.84834,1.18606,0.70217,0.9937,0.000891022,0.000891022,0.000891022
42,10855.5,0.841,1.16013,0.81187,1.00508,0.63934,0.76679,0.745,0.5437,0.64598,0.77758,0.75207,0.5326,0.85669,1.17656,0.7119,1.00946,0.000885523,0.000885523,0.000885523
