object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,2,House,"[942.0941162109375, 1033.7242431640625, 1063.3314208984375, 1128.4722900390625]",319.34399726256356,3437.386852134508,0.9075955748558044,"11109 Lakeview Dr, Town of Chippewa.png"
2,2,House,"[794.555419921875, 1113.9664306640625, 869.1163330078125, 1213.8167724609375]",196.3582370368051,2113.580427640466,0.4614737033843994,"11109 Lakeview Dr, Town of Chippewa.png"
3,2,House,"[789.385498046875, 1197.0635986328125, 895.815673828125, 1279.0325927734375]",206.9349102261412,2227.4266801831614,0.4067119061946869,"11109 Lakeview Dr, Town of Chippewa.png"
