object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
1,2,House,"[574.6337280273438, 572.4033813476562, 680.9458618164062, 684.2225952148438]",322.9717450714663,3476.435566774756,0.9889307618141174,"76745 Bear Lake Rd, Town of Chippewa.png"
2,1,Garage,"[782.030029296875, 686.1865234375, 832.9512939453125, 763.5830078125]",185.57718368922093,1997.534247512405,0.813067615032196,"76745 Bear Lake Rd, Town of Chippewa.png"
3,1,Garage,"[1129.05517578125, 820.056396484375, 1153.844482421875, 877.912109375]",61.77390283047029,664.9281126768991,0.7620847821235657,"76745 Bear Lake Rd, Town of Chippewa.png"
