object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,2,House,"[752.1945190429688, 1.6607398986816406, 833.8751831054688, 52.927310943603516]",175.92022121200102,1893.5876691038577,0.9998718500137329,"14256 Radlinger Rd, Town of Chippewa.png"
1,2,House,"[343.3410949707031, 371.9706115722656, 407.1434020996094, 471.9115905761719]",305.29286138301075,3286.1418306405894,0.9640299677848816,"14256 Radlinger Rd, Town of Chippewa.png"
2,2,House,"[632.9055786132812, 451.6176452636719, 689.0215454101562, 512.2918701171875]",124.87627668955285,1344.155754658678,0.8918482661247253,"14256 Radlinger Rd, Town of Chippewa.png"
