object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,2,House,"[614.6161499023438, 601.8843383789062, 676.2979125976562, 665.1563110351562]",122.16823959276631,1315.0067141525772,0.9998032450675964,"65548 Fischer Rd, Town of Chippewa.png"
1,2,House,"[1142.9189453125, 825.06640625, 1188.317138671875, 883.1666259765625]",93.65720751716464,1008.1168159940083,0.9771851897239685,"65548 Fischer Rd, Town of Chippewa.png"
2,2,House,"[1035.4375, 549.6887817382812, 1112.04052734375, 634.8453979492188]",161.51142005551415,1738.4927743355488,0.7546864748001099,"65548 Fischer Rd, Town of Chippewa.png"
