object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,1,Garage,"[822.5872192382812, 939.3487548828125, 882.8095092773438, 993.3587646484375]",140.2558835977179,1509.7003054574757,0.9875170588493347,"77056 Chippewa Lake Rd, Town of Chippewa.png"
1,1,Garage,"[899.0228881835938, 1005.4569702148438, 959.6093139648438, 1049.1751708984375]",119.97115289159987,1291.3574926098918,0.9870505332946777,"77056 Chippewa Lake Rd, Town of Chippewa.png"
2,1,Garage,"[915.33349609375, 1076.4852294921875, 949.1422119140625, 1099.9390869140625]",34.94900706041496,376.18761709760054,0.858972430229187,"77056 Chippewa Lake Rd, Town of Chippewa.png"
