object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,2,House,"[672.2282104492188, 671.462646484375, 739.5458374023438, 767.6214599609375]",216.18311238686502,2326.9734034209764,0.9988403916358948,"11859 Forest Rd 169, Town of Chippewa.png"
1,1,Garage,"[880.4163818359375, 319.92083740234375, 930.8831787109375, 372.448486328125]",89.10974899614574,959.1684272196131,0.996250569820404,"11859 Forest Rd 169, Town of Chippewa.png"
2,1,Garage,"[609.3656616210938, 621.7218017578125, 662.8936157226562, 664.3763427734375]",105.15359141861693,1131.8627426708506,0.9340000152587891,"11859 Forest Rd 169, Town of Chippewa.png"
