epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7463.28,0.89443,1.28223,0.96054,1.07168,0.73313,0.55206,0.61053,0.44348,0.73476,0.55417,0.6113,0.41523,0.85055,1.23286,0.87473,1.02054,0.000957015,0.000957015,0.000957015
30,7719.56,0.86703,1.244,0.88729,1.05308,0.61491,0.64029,0.66876,0.47768,0.62517,0.64675,0.66977,0.45778,0.89311,1.23226,0.80666,1.04689,0.000951516,0.000951516,0.000951516
31,7975.57,0.85983,1.21663,0.82844,1.04559,0.65079,0.68107,0.68037,0.48752,0.64294,0.68717,0.68396,0.46308,0.85438,1.21563,0.79003,1.02227,0.000946016,0.000946016,0.000946016
32,8231.54,0.85167,1.21143,0.85208,1.04953,0.60882,0.67822,0.67135,0.48078,0.60884,0.67926,0.67141,0.45487,0.88456,1.22391,0.76965,1.04306,0.000940517,0.000940517,0.000940517
33,8487.94,0.84407,1.18059,0.89361,1.03398,0.75926,0.60151,0.61904,0.44294,0.75664,0.59889,0.6093,0.41865,0.85368,1.21254,0.81606,1.01837,0.000935018,0.000935018,0.000935018
34,8743.96,0.85445,1.23118,0.82873,1.03906,0.61727,0.71184,0.72929,0.53403,0.61602,0.71009,0.72619,0.5113,0.87568,1.21883,0.80385,1.03348,0.000929518,0.000929518,0.000929518
35,9001.73,0.84188,1.17245,0.83428,1.03866,0.5365,0.6766,0.65861,0.4752,0.53753,0.67815,0.66444,0.45555,0.87729,1.24132,0.7986,1.02932,0.000924019,0.000924019,0.000924019
36,9257.27,0.83999,1.20156,0.83898,1.04466,0.78491,0.56309,0.69384,0.49762,0.78417,0.56366,0.67963,0.47074,0.85019,1.18799,0.78585,1.0142,0.000918519,0.000918519,0.000918519
37,9513.44,0.83995,1.20848,0.85501,1.03242,0.58512,0.71229,0.68227,0.49001,0.58574,0.71316,0.68169,0.46714,0.84419,1.19872,0.77533,1.01944,0.00091302,0.00091302,0.00091302
38,9769.72,0.83183,1.19637,0.83912,1.0358,0.5408,0.74425,0.68875,0.51334,0.55054,0.76177,0.70724,0.49419,0.83857,1.20208,0.75667,1.01851,0.00090752,0.00090752,0.00090752
39,10025.7,0.82108,1.19166,0.82493,1.03167,0.67849,0.66042,0.72757,0.523,0.70465,0.66618,0.72938,0.50361,0.87888,1.17188,0.75335,1.02376,0.000902021,0.000902021,0.000902021
40,10281.7,0.83618,1.16967,0.82989,1.04037,0.60079,0.72918,0.68363,0.50663,0.60147,0.73109,0.68885,0.48616,0.81425,1.14904,0.74043,0.9968,0.000896521,0.000896521,0.000896521
41,10537.8,0.80329,1.1399,0.80715,1.01362,0.5401,0.70908,0.66953,0.48179,0.78569,0.56371,0.66388,0.45581,0.85023,1.20341,0.7729,1.01374,0.000891022,0.000891022,0.000891022
