object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,1,Garage,[1228.0311   958.82404 1410.3539  1085.7584 ],281.1700115,3026.4858867848498,0.968841552734375,"14711 State Hwy 13, Town of Chippewa.png"
1,1,Garage,[ 949.4572   374.19687 1071.8739   493.05444],141.72538275,1525.5178473827248,0.7248551845550537,"14711 State Hwy 13, Town of Chippewa.png"
2,2,House,[1272.1072 1170.1904 1395.8759 1374.8119],299.8185295,3227.21666968505,0.26334065198898315,"14711 State Hwy 13, Town of Chippewa.png"
