object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,1,Garage,[ 956.66693  962.8164  1112.8416  1069.7904 ],230.38969450000002,2479.8916326285503,0.9164827466011047,"11343 Ernst Ln, Town of Chippewa.png"
1,2,House,[1027.2621 1101.0975 1136.3904 1214.6569],173.92426275,1872.1033718147248,0.9072957634925842,"11343 Ernst Ln, Town of Chippewa.png"
2,1,Garage,[1027.0073  809.0985 1332.6929  925.1953],478.10305725,5146.253497933275,0.8805726170539856,"11343 Ernst Ln, Town of Chippewa.png"
