object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,2,House,[1214.5314   265.715   1320.8431   392.87012],103.15380775,1110.337271240225,0.764991044998169,"11788 Forest Rd 169, Town of Chippewa.png"
1,2,House,[1359.0927   157.13123 1536.3926   307.52084],249.004672,2680.2613889408,0.44749709963798523,"11788 Forest Rd 169, Town of Chippewa.png"
2,1,Garage,[ 981.967   975.235  1101.8705 1086.3313],99.5817445,1071.88793962355,0.3691025674343109,"11788 Forest Rd 169, Town of Chippewa.png"
