object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,1,Garage,[ 785.02356 1113.4828   952.6284  1280.0109 ],311.4235425,3352.13186911575,0.8908120393753052,"14585 Blue Moon Rd, Town of Chippewa.png"
1,2,House,[1197.4089 1563.9788 1322.7484 1651.5809],109.39234075,1177.488216598925,0.33296510577201843,"14585 Blue Moon Rd, Town of Chippewa.png"
