object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,2,House,[1509.2777 1649.0116 1704.8597 1816.526 ],341.45906025,3675.4311786249746,0.9503045082092285,"11109 Lakeview Dr, Town of Chippewa.png"
1,1,Garage,[1059.7784   448.28693 1238.1261   577.3926 ],198.24112525,2133.8476480784752,0.9295540452003479,"11109 Lakeview Dr, Town of Chippewa.png"
2,1,Garage,[1268.8804 1775.6223 1385.8347 1930.7235],187.960962,2023.1929988717998,0.899605393409729,"11109 Lakeview Dr, Town of Chippewa.png"
