object_id,class_id,class_name,bbox,area_m2,area_ft2,score,file
0,5,Trailer,[ 966.3714  909.382  1098.2963 1118.5502],248.35063225000002,2673.221370475775,0.9286652207374573,"77805 West Rd, Town of Chippewa.png"
1,1,Garage,[1232.9203 1033.104  1325.3905 1147.5841],149.10429275,1604.9436967317251,0.8613052368164062,"77805 West Rd, Town of Chippewa.png"
2,5,Trailer,[1732.4476   466.63696 1882.1793   531.4437 ],107.24574875,1154.382514970125,0.48522984981536865,"77805 West Rd, Town of Chippewa.png"
