epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2957.96,0.77348,1.07851,0.67853,1.02896,0.63823,0.66153,0.67877,0.48093,0.62312,0.66684,0.66969,0.43611,0.84664,1.26055,0.84292,1.10505,0.000951516,0.000951516,0.000951516
31,3055.52,0.79073,1.08306,0.69424,1.01181,0.60512,0.72316,0.69699,0.49684,0.60921,0.72079,0.69255,0.46203,0.83354,1.23302,0.77301,1.09841,0.000946016,0.000946016,0.000946016
32,3153.83,0.77889,1.07624,0.69753,1.02063,0.51765,0.73272,0.66373,0.45742,0.51463,0.7327,0.66161,0.43851,0.85961,1.21094,0.78126,1.10842,0.000940517,0.000940517,0.000940517
33,3251.63,0.77263,1.04035,0.67142,1.00333,0.61537,0.64564,0.66015,0.4746,0.61142,0.63686,0.64915,0.44063,0.84096,1.20377,0.77696,1.10605,0.000935018,0.000935018,0.000935018
34,3349.12,0.77022,1.03827,0.65717,1.01145,0.60601,0.68659,0.68084,0.48163,0.6068,0.69363,0.67787,0.44905,0.87407,1.21008,0.81789,1.13187,0.000929518,0.000929518,0.000929518
35,3446.6,0.78096,1.06794,0.68963,1.00296,0.54605,0.67713,0.65633,0.47587,0.53606,0.67985,0.651,0.44781,0.81986,1.22652,0.74666,1.08406,0.000924019,0.000924019,0.000924019
36,3544.35,0.77072,1.04627,0.66754,1.0016,0.62142,0.58016,0.64234,0.46183,0.52569,0.68755,0.6372,0.43203,0.82881,1.23675,0.79118,1.10518,0.000918519,0.000918519,0.000918519
37,3641.86,0.75075,1.00308,0.62471,1.00091,0.67013,0.67725,0.69066,0.49677,0.67683,0.68546,0.69477,0.4588,0.84201,1.22159,0.75225,1.10558,0.00091302,0.00091302,0.00091302
38,3739.52,0.7671,1.02189,0.63181,1.02722,0.66217,0.68398,0.69309,0.49999,0.63877,0.72778,0.70414,0.46986,0.81037,1.18291,0.7627,1.09596,0.00090752,0.00090752,0.00090752
39,3837.58,0.73757,1.00932,0.60405,0.99651,0.62207,0.7165,0.68314,0.48883,0.62375,0.71296,0.674,0.4492,0.84157,1.23305,0.76158,1.10802,0.000902021,0.000902021,0.000902021
40,3935.34,0.73126,0.98901,0.60949,0.99382,0.61675,0.7147,0.67804,0.48256,0.6204,0.71332,0.6724,0.4505,0.80887,1.20099,0.75161,1.07612,0.000896521,0.000896521,0.000896521
41,4032.85,0.75052,1.02132,0.61929,1.00026,0.6451,0.6238,0.65573,0.47044,0.58001,0.67957,0.65031,0.43525,0.83033,1.19787,0.79501,1.0887,0.000891022,0.000891022,0.000891022
