OC = Original Color,,,,,,,,,,,,,,,,,,,,,,
OG = Original Greyscale,,,,,,,,,,,,,,,,,,,,,,
EC = Enhanced Color,,,,,,,,,,,,,,,,,,,,,,
EG = Enhanced Greyscale,,,,,,,,,,,,,,,,,,,,,,
,,Class (All),,,,,,,,,,,,,,,,,mAP50,,,
Original Image size = 1280x1280,,Enhancment,Detector,Precision,Recall,mAP50,mAP50-95,,,,,,,,,,,,Class,First,Second,Third
,,Enhanced - Greyscale,YOLOv11 - EG,0.908,0.655,0.86,0.398,,,,,,,,,,,,,,,
,,,Detectron2 - EG,0.541,0.703,0.91497,0.47674,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Class (Garage),,,,,,,,,,,,,,,,,,,,
,,Enhancment,Detector,Precision,Recall,mAP50,mAP50-95,,,,,,,,,,,,,,,
,,Original - RGB,YOLOv11 - OC,0.612,0.484,0.557,0.438,,,,,,,,,,,,,,,
,,,Detectron2 - OC,0.493,0.581,0.64017,0.49134,,,,,,,,,,,,,,,
,,,MMDetection - OC,0.543,0.613,0.702,0.557,,,,,,,,,,,,,,,
,,Original - Greyscale,YOLOv11 - OG,0.608,0.55,0.599,0.46,,,,,,,,,,,,,,,
,,,Detectron2 - OG,0.722,0.629,0.61687,0.43793,,,,,,,,,,,,,,,
,,,MMDetection - OG,0.486,0.565,0.713,0.541,,,,,,,,,,,,,,,
,,Enhanced - RGB,YOLOv11 - EC,0.636,0.705,0.697,0.518,,,,,,,,,,,,,,,
,,,Detectron2 - EC,0.459,0.806,0.68826,0.53254,,,,,,,,,,,,,,,
,,Enhanced - Greyscale,YOLOv11 - EG,0.577,0.613,0.576,0.448,,,,,,,,,,,,,,,
,,,Detectron2 - EG,0.429,0.629,0.65729,0.49392,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Class (Trailer),,,,,,,,,,,,,,,,,,,,
,,Enhancment,Detector,Precision,Recall,mAP50,mAP50-95,,,,,,,,,,,,,,,
,,Original - RGB,YOLOv11 - OC,0.772,0.703,0.812,0.586,,,,,,,,,,,,,,,
,,,Detectron2 - OC,0.718,0.757,0.82315,0.5999,,,,,,,,,,,,,,,
,,,MMDetection - OC,0.674,0.784,0.831,0.582,,,,,,,,,,,,,,,
,,Original - Greyscale,YOLOv11 - OG,0.693,0.73,0.753,0.525,,,,,,,,,,,,,,,
,,,Detectron2 - OG,0.638,0.811,0.80791,0.58613,,,,,,,,,,,,,,,
,,,MMDetection - OG,0.642,0.919,0.936,0.624,,,,,,,,,,,,,,,
,,Enhanced - RGB,YOLOv11 - EC,0.572,0.811,0.701,0.52,,,,,,,,,,,,,,,
,,,Detectron2 - EC,0.625,0.811,0.83776,0.58647,,,,,,,,,,,,,,,
,,Enhanced - Greyscale,YOLOv11 - EG,0.611,0.811,0.756,0.538,,,,,,,,,,,,,,,
,,,Detectron2 - EG,0.667,0.811,0.78056,0.57895,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Class (Other),,,,,,,,,,,,,,,,,,,,
,,Enhancment,Detector,Precision,Recall,mAP50,mAP50-95,,,,,,,,,,,,,,,
,,Original - RGB,YOLOv11 - OC,0.384,0.556,0.364,0.264,,,,,,,,,,,,,,,
,,,Detectron2 - OC,0.364,0.444,0.61776,0.43493,,,,,,,,,,,,,,,
,,,MMDetection - OC,0.37,0.556,0.613,0.468,,,,,,,,,,,,,,,
,,Original - Greyscale,YOLOv11 - OG,0.21,0.5,0.345,0.276,,,,,,,,,,,,,,,
,,,Detectron2 - OG,0.312,0.556,0.67476,0.50203,,,,,,,,,,,,,,,
,,,MMDetection - OG,0.333,0.5,0.512,0.432,,,,,,,,,,,,,,,
,,Enhanced - RGB,YOLOv11 - EC,0.515,0.278,0.384,0.302,,,,,,,,,,,,,,,
,,,Detectron2 - EC,0.286,0.556,0.61012,0.49242,,,,,,,,,,,,,,,
,,Enhanced - Greyscale,YOLOv11 - EG,0.284,0.278,0.281,0.222,,,,,,,,,,,,,,,
,,,Detectron2 - EG,0.289,0.611,0.51522,0.39675,,,,,,,,,,,,,,,
