object_id_x,class_id_x,class_name_x,bbox_x,area_m2_x,area_ft2_x,Ground Truth,Percentage difference,,object_id_y,class_id_y,class_name_y,bbox_y,,,,,file_y,source_file_y
0,2,House,"[614.6161499023438, 601.8843383789062, 676.2979125976562, 665.1563110351562]",122.1682396,1315.006714,1120,17.41131375,,0,2,House,"[614.6161499023438, 601.8843383789062, 676.2979125976562, 665.1563110351562]",,,,,"65548 Fischer Rd, Town of Chippewa.png","65548 Fischer Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[594.0243530273438, 604.9598388671875, 674.2918090820312, 708.9156494140625]",168.1026802,1809.440439,1292,40.04956958,,1,2,House,"[594.0243530273438, 604.9598388671875, 674.2918090820312, 708.9156494140625]",,,,,"65578 Fischer Rd, Town of Chippewa.png","65578 Fischer Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[613.1030883789062, 597.5285034179688, 671.2988891601562, 660.8595581054688]",132.4383425,1425.553075,1024,39.21416748,,0,1,Garage,"[613.1030883789062, 597.5285034179688, 671.2988891601562, 660.8595581054688]",,,,,"73740 Bear Lake Rd, Town of Chippewa.png","73740 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[613.1343383789062, 597.5771484375, 672.9995727539062, 660.0244140625]",111.2339011,1197.310588,858,39.54668858,,0,1,Garage,"[613.1343383789062, 597.5771484375, 672.9995727539062, 660.0244140625]",,,,,"75771 West Rd, Town of Chippewa.png","75771 West Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[574.6337280273438, 572.4033813476562, 680.9458618164062, 684.2225952148438]",322.9717451,3476.435567,2652,31.08731399,,1,2,House,"[574.6337280273438, 572.4033813476562, 680.9458618164062, 684.2225952148438]",,,,,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv"
2,1,Garage,"[782.030029296875, 686.1865234375, 832.9512939453125, 763.5830078125]",185.5771837,1997.534248,"1,440",38.71765611,,2,1,Garage,"[782.030029296875, 686.1865234375, 832.9512939453125, 763.5830078125]",,,,,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[618.9590454101562, 596.9791870117188, 678.6973266601562, 658.9990844726562]",169.124581,1820.440077,1295,40.57452332,,1,2,House,"[618.9590454101562, 596.9791870117188, 678.6973266601562, 658.9990844726562]",,,,,"77234 Chippewa Lake Rd, Town of Chippewa.png","77234 Chippewa Lake Rd, Town of Chippewa.png_objects.csv"
0,1,Garage,"[772.4877319335938, 645.8309936523438, 826.3711547851562, 716.4395141601562]",163.1975564,1756.642177,"1,320",33.0789528,,0,1,Garage,"[772.4877319335938, 645.8309936523438, 826.3711547851562, 716.4395141601562]",,,,,"77805 West Rd, Town of Chippewa.png","77805 West Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[617.2960815429688, 579.0082397460938, 673.6466674804688, 675.0299682617188]",183.6866672,1977.184917,1568,26.09597685,,0,2,House,"[617.2960815429688, 579.0082397460938, 673.6466674804688, 675.0299682617188]",,,,,"78214 West Rd, Town of Chippewa.png","78214 West Rd, Town of Chippewa.png_objects.csv"
0,5,Trailer,"[577.9786987304688, 573.8323974609375, 709.4041137695312, 705.13671875]",273.7161269,2946.253019,2376,24.00054794,,0,5,Trailer,"[577.9786987304688, 573.8323974609375, 709.4041137695312, 705.13671875]",,,,,"78310 Bear Lake Rd, Town of Chippewa.png","78310 Bear Lake Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[604.8402709960938, 584.1367797851562, 677.6559448242188, 655.7484741210938]",171.4749528,1845.739244,1424,29.61651994,,0,2,House,"[604.8402709960938, 584.1367797851562, 677.6559448242188, 655.7484741210938]",,,,,"78473 Bear Lake Rd, Town of Chippewa.png","78473 Bear Lake Rd, Town of Chippewa.png_objects.csv"
1,2,House,"[686.4568481445312, 600.95263671875, 760.1609497070312, 679.1932373046875]",171.730428,1848.489154,1480,24.89791581,,1,2,House,"[686.4568481445312, 600.95263671875, 760.1609497070312, 679.1932373046875]",,,,,"78695 Weinberger Rd, Town of Chippewa.png","78695 Weinberger Rd, Town of Chippewa.png_objects.csv"
0,2,House,"[572.787841796875, 572.0706176757812, 726.296142578125, 680.5795288085938]",375.9573011,4046.766793,2824,43.2991074,,0,2,House,"[572.787841796875, 572.0706176757812, 726.296142578125, 680.5795288085938]",,,,,"80322 Graf Rd, Town of Chippewa.png","80322 Graf Rd, Town of Chippewa.png_objects.csv"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,area_m2_y,area_ft2_y,Ground Truth,Percentage difference,,,,file_x,source_file_x,,,,,,
,,,,187.8131563,2021.602033,1776,13.8289433,,,,"11055 Lakeview Dr, Town of Chippewa.png","11055 Lakeview Dr, Town of Chippewa.png_objects.csv",,,,,,
,,,,91.02746005,979.8104772,864,13.40399042,,,,"11223 Old Grade Rd, Town of Chippewa.png","11223 Old Grade Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,97.85057556,1053.25381,640,64.57090781,,,,"11621 County Hwy GG, Town of Chippewa.png","11621 County Hwy GG, Town of Chippewa.png_objects.csv",,,,,,
,,,,239.0851225,2573.488351,"2,276",13.07066569,,,,"11704 Liberty Rd, Town of Chippewa.png","11704 Liberty Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,298.6789233,3214.950062,"2,876",11.78546808,,,,"11709 Lakeview Dr, Town of Chippewa.png","11709 Lakeview Dr, Town of Chippewa.png_objects.csv",,,,,,
,,,,166.8705301,1796.177699,1500,19.74517993,,,,"11859 Forest Rd 169, Town of Chippewa.png","11859 Forest Rd 169, Town of Chippewa.png_objects.csv",,,,,,
,,,,111.0235269,1195.046141,"1,248",-4.243097676,,,,"12049 Stangle Rd, Town of Chippewa.png","12049 Stangle Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,237.7836034,2559.478929,"2,352",8.821383036,,,,"12049 State Hwy 13, Town of Chippewa.png","12049 State Hwy 13, Town of Chippewa.png_objects.csv",,,,,,
,,,,125.5374373,1351.272422,1269,6.483248385,,,,"12202 Stangle Rd, Town of Chippewa.png","12202 Stangle Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,116.978963,1259.149859,1152,9.301203038,,,,"12291 Witte Rd, Town of Chippewa.png","12291 Witte Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,180.2801213,1940.517197,1864,4.104999839,,,,"13647 Mail Route Rd, Town of Chippewa.png","13647 Mail Route Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,74.34435104,800.2351601,672,19.08261311,,,,"13647 Mail Route Rd, Town of Chippewa.png","13647 Mail Route Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,91.93457945,989.5746198,864,14.53409951,,,,"14109 Wagner Vogt Rd, Town of Chippewa.png","14109 Wagner Vogt Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,99.58593441,1071.933039,1120,-4.291692946,,,,"14113 Bush Rd, Town of Chippewa.png","14113 Bush Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,143.6403854,1546.130744,1510,2.392764503,,,,"14322 Radlinger Rd, Town of Chippewa.png","14322 Radlinger Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,127.0755963,1367.829011,1456,-6.055699794,,,,"14616 Radlinger Rd, Town of Chippewa.png","14616 Radlinger Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,95.16865732,1024.385911,992,3.26470877,,,,"15469 Blue Moon Rd, Town of Chippewa.png","15469 Blue Moon Rd, Town of Chippewa.png_objects.csv",,,,,,
